Year,Film,Studio,RottenTomatoes,AudienceScore,Story,Genre,Budget,CinemasOpenWeek,AverageOpenWeek,OpeningWeekend,DomesticGross,ForeignGross,WorldwideGross,Oscar,Bafta
2009,Extract,Miramax,62,37,Comedy,Comedy,7.5,1611,2694,4.3,10.8,0.025,10.825,none,none
2010,Just Wright,20th Century Fox,45,58,Love,Comedy,12,1831,4525,8.3,21.54,0.029,21.569,none,none
2009,Post Grad,20th Century Fox,7,31,Maturation,Comedy,15,1959,1354,2.6,6.38,0.034,6.38,none,none
2009,Not Easily Broken,Independent,34,66,Love,Drama,5,724,7340,5.3,10.6,0.14,10.7,none,none
2009,Next Day Air,Summit Entertainment,21,27,Comedy,Action,3,1138,3613,4.1,10,0.145,10,none,none
2011,The Big Year,Independent,38,62,Transformation,Comedy,41,2150,1513,3.25,7.204,0.244,7.448,none,none
2010,Please Give,Sony,88,62,Comedy,Comedy,3,NA,NA,0.1,4.03,0.279,4.309,none,none
2010,Country Strong,Sony,20,56,Rags to Riches,Drama,15,1424,5145,7.33,20.218,0.31,20.528,none,none
2011,A Very Harold and Kumar Christmas,Lionsgate,72,71,Comedy,Comedy,19,2875,4506,12.95,35.061,0.326,35.387,none,none
2010,Jonah Hex,Warner Bros.,13,24,Revenge,Action,47,2825,1904,5.4,10.55,0.36,10.91,none,none
2011,The Company Men,Weinstein Company,66,55,Discovery,Drama,15,106,6111,0.64,4.441,0.441,4.882,none,none
2011,Another Earth,Independent,63,74,Temptation,Fantasy,0.2,NA,NA,0.08,1.321,0.45,1.771,none,none
2010,The Joneses,Independent,61,47,Temptation,Comedy,10,NA,NA,0.51,1.48,0.49,1.97,none,none
2011,Machine Gun Preacher,Lionsgate,29,71,Transformation,Action,30,NA,NA,0.05,0.538,0.565,1.103,none,none
2010,Why Did I Get Married Too?,Lionsgate,27,67,Comedy,Comedy,20,2155,13591,29.3,60.09,0.58,60.67,none,none
2010,MacGruber,Independent,47,33,Comedy,Action,10,2551,1585,4,8.53,0.797,9.327,none,none
2010,Solitary Man,Independent,81,47,Wretched Excess,Comedy,15,4,23734,0.09,4.36,0.818,5.178,none,none
2009,I Love You Beth Cooper,20th Century Fox,14,38,Comedy,Comedy,18,1856,2648,4.9,14.8,1.021,15.821,none,none
2010,The Runaways,Independent,68,56,Maturation,Biography,10,244,3300,0.8,3.57,1.107,4.677,none,none
2009,Adventureland,Miramax,89,56,Maturation,Comedy,9.8,1862,3073,5.7,16.04,1.12,17.16,none,none
2010,Our Family Wedding,Independent,14,49,Love,Comedy,NA,1605,4754,7.6,20.26,1.153,21.413,none,none
2010,City Island,Independent,81,77,Transformation,Comedy,6,2,16000,0.032,6.67,1.204,7.874,none,none
2009,Fired Up!,Independent,22,52,Comedy,Comedy,20,1810,3030,5.5,17.2,1.367,18.6,none,none
2011,Take Shelter,Independent,92,85,Sacrifice,Drama,5,NA,NA,0.05,1.73,1.396,3.126,none,none
2010,Greenberg,Independent,75,40,Transformation,Comedy,NA,3,39384,0.11,4.23,1.92,6.15,none,none
2009,The Stepfather,Sony,12,48,Rescue,Mystery,20,2734,4236,11.6,29.1,2.13,31.2,none,none
2010,Cyrus,Independent,80,51,Rivalry,Comedy,7,4,45429,0.18,7.47,2.45,9.92,none,none
2009,Taking Woodstock,Focus,48,48,Quest,Comedy,29,1393,2482,3.5,7.46,2.515,9.975,none,none
2010,Conviction,Independent,68,71,Rescue,Biography,12.5,672,2424,1.62,6.79,2.92,9.71,none,none
2009,Observe and Report,Warner Bros.,51,40,Comedy,Comedy,18,2727,4040,11,24,2.96,26.96,none,none
